Fecha,nombre,linea,Rival,Local_Visitante,RvE_pct,Rendimiento_Partido
2025-08-16,Hugo Camberos,Extremo,C. JUAREZ,Local,43.54046572157469,15.0
2025-07-26,Armando González,Delantera,SAN LUIS,Local,41.22107304412752,19.426370233069164
2025-08-22,Miguel Gómez,Defensa Lateral,XOLOS,Visitante,30.695682207199525,11.803747015853356
2025-07-31,Rubén González,Medio Defensivo,NEW YORK RB,Visitante,27.49611275995296,7.779230940920948
2025-08-16,Raúl Martínez,Defensa Central,C. JUAREZ,Local,23.94192176898172,10.95613793549834
2025-08-16,Santiago Sandoval,Medio Ofensivo,C. JUAREZ,Local,21.048405093852665,14.788795228155454
2025-08-03,Miguel Gómez,Defensa Lateral,CHARLOTTE,Visitante,18.476550365541335,5.552302550136171
2025-07-26,Hugo Camberos,Extremo,SAN LUIS,Local,16.257319922402722,6.430394328754985
2025-08-07,Teun Wilke,Delantera,CINCINNATI,Visitante,10.12865297162281,3.168765000631606
2025-08-10,Cade Cowell,Extremo,SANTOS,Visitante,8.51606312082527,1.7738231917336396
2025-07-19,Armando González,Delantera,LEON,Visitante,5.819170790663095,2.005272455486077
2025-08-16,Miguel Gómez,Defensa Lateral,C. JUAREZ,Local,4.506945008271214,1.7082029280930433
2025-08-22,Richard Ledezma,Extremo,XOLOS,Visitante,0.0,0.0
2025-08-03,Cade Cowell,Extremo,CHARLOTTE,Visitante,0.0,0.0
2025-07-19,Santiago Sandoval,Medio Ofensivo,LEON,Visitante,0.0,0.0
