fecha,rival,local_visitante,distancia_total,hsr_abs_m,hmld_m,sprints_distancia_m,acc_3,dec_3,carga_explosiva,carga_sostenida,carga_regenerativa,rendimiento_partido,duracion_min,hsr_rel_m,sprints_cantidad,velocidad_prom_m_min
2025-08-07,CINCINNATI,Visitante,10385,815,2292,405,64,82,1485.0,2292.0,3639.0,100.0,86,181,22,121
2025-08-10,SANTOS,Visitante,9917,1093,2490,476,74,97,1891.1,2490.0,3167.0,100.0,94,242,23,105
2025-08-03,CHARLOTTE,Visitante,10299,1060,2568,596,64,72,1739.0,2568.0,3335.5,100.0,90,462,19,115
2025-08-03,CHARLOTTE,Visitante,4471,0,112,0,11,6,48.0,112.0,2179.5,9.187224763777845,99,0,0,45
2025-08-07,CINCINNATI,Visitante,4827,0,99,0,9,4,37.0,99.0,2364.0,10.764889477959725,99,0,0,49
2025-08-10,SANTOS,Visitante,5029,21,190,0,14,12,97.2,190.0,2409.0,11.149685749711402,109,23,0,46
2025-08-16,C. JUAREZ,,9543,905,2098,471,46,60,1489.0,2098.0,3270.0,100.0,90,228,23,106
2025-07-31,NEW YORK RB,Visitante,11030,857,2348,492,71,98,1606.3999999999999,2348.0,3912.5,100.0,104,344,24,106
2025-07-31,NEW YORK RB,Visitante,5062,0,252,0,21,26,128.0,252.0,2405.0,11.115481636666809,104,0,0,49
2025-08-16,C. JUAREZ,Local,5851,118,905,40,16,11,227.1,905.0,2414.0,39.76630178469481,31,12,2,190
2025-08-16,C. JUAREZ,Local,13695,485,1804,169,34,48,849.0,1804.0,5703.0,83.80848440250197,102,37,9,134
2025-08-16,C. JUAREZ,Local,6027,214,637,0,2,4,272.8,637.0,2588.0,34.11555100418005,37,59,0,163
2025-08-16,C. JUAREZ,Local,4904,123,192,104,1,1,158.1,192.0,2294.5,17.042750800055657,25,94,1,200
2025-08-16,C. JUAREZ,Local,6071,37,294,10,13,14,123.4,294.0,2870.0,20.0,102,63,1,59
