,dtype,missing_count,missing_%
id_entrenamiento,int64,0,0.0
rpe,int64,0,0.0
sprints_vel_max_kmh,float64,0,0.0
sprints_cantidad,int64,0,0.0
hsr_rel_m,int64,0,0.0
rendimiento_diario,datetime64[ns],0,0.0
carga_regenerativa,float64,0,0.0
carga_sostenida,float64,0,0.0
carga_explosiva,float64,0,0.0
player_load,int64,0,0.0
id_jugador,int64,0,0.0
dec_3,int64,0,0.0
acc_3,int64,0,0.0
sprints_distancia_m,int64,0,0.0
hmld_m,int64,0,0.0
hsr_abs_m,int64,0,0.0
distancia_total,int64,0,0.0
fecha,datetime64[ns],0,0.0
velocidad_prom_m_min,int64,0,0.0
